hour,request_count,avg_response_ms,total_bytes
0,10488,67.48531121281465,27371835608
1,10387,67.35567103109656,27265360702
2,10500,66.93971314285714,27525959723
3,10521,69.59690238570478,27570844606
4,10399,68.8756204442735,27498632652
5,10347,68.21589707161496,26767710653
6,10307,69.11802862132531,26840038581
7,10296,67.02653438228438,27030998357
8,10473,70.2933962570419,27453289129
9,10427,68.69765282439819,27567928878
10,10120,68.15971086956522,26795858617
11,10333,68.78400609697087,27386649098
12,10467,66.20827792108533,27576341516
13,10588,67.28908245183227,27569254771
14,10491,68.02063425793538,27436434977
15,10436,68.62172326561901,27378595657
16,10422,67.41567539819613,27316713062
17,10402,69.57112689867333,27264381520
18,10269,68.2785294575908,27002469709
19,10252,66.61685397971127,26943850590
20,10497,67.77781851957701,27530387512
21,10405,67.40215348390197,27362384177
22,10457,67.7988468011858,27348072816
23,10376,70.44752467232074,27197707983
